Sl.,Grade,Subject,Chapter No.,Chapter,Section Number,Section,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
7584,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,"If a person who lived a century ago returned to India today, the chapter suggests she would be surprised mainly because:",Caste has completely disappeared from Indian society,"Constitutional prohibition of caste discrimination and social change have altered many earlier caste-based restrictions, even though caste has not vanished",Untouchability is now legally permitted,Caste-based marriage restrictions have become stricter,B,3
7585,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,The chapter notes that in urban areas today it 'does not matter much who is walking next to us on the street or eating at the next table.' This is used to illustrate:,That caste discrimination has become worse in cities,That untouchability is now enforced by law,"Some visible everyday caste restrictions have weakened, especially in urban public spaces",That caste-based occupations have completely vanished,C,3
7586,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,"Comparing the old caste hierarchy with today's economic data in the chapter, which statement best matches the evidence presented?","Every caste has become equally rich today, with no differences","The old hierarchy has been completely reversed, with lower castes now the richest",Caste and economic status are entirely unrelated today,"While it is now possible to find rich and poor people in every caste, average economic status of caste groups still broadly follows the old hierarchy, with upper castes best off and Dalits/Adivasis worst off",D,4
7587,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,"Analysing the reasons the chapter gives for why 'upper castes' are disproportionately represented among the urban middle class, which combination is correct?","Historical access to education under the old caste system gave certain caste groups an advantage in acquiring modern education, while groups denied such access lagged behind",It is purely due to random chance with no historical cause,It is due to a law that reserves urban jobs for upper castes,It has nothing to do with education or history,A,4
7588,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,"The chapter mentions untouchability has 'not ended completely, despite constitutional prohibition.' Which best explains why this specific example is significant?",It shows the Constitution has no provisions against caste discrimination,"It shows that legal prohibition alone, while important, has not fully eliminated deep-rooted social practices, so their effects continue to be felt",It shows untouchability was never actually practised in India,It shows caste and law are entirely unrelated,B,4
7589,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,Evaluate the chapter's overall argument about caste and economic inequality today.,Caste-based economic inequality has been entirely eliminated by economic development,"Economic status today is decided only by caste, with no exceptions","While the strict link between caste and economic status has weakened compared to the past, statistical evidence still shows a strong association between caste hierarchy and economic well-being, even as individual exceptions exist in every caste",There is no data available to assess the relationship between caste and economic status,C,5
7590,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste and Politics,"Considering the work of reformers like Phule, Gandhiji, Ambedkar and Periyar together with the socio-economic changes described (urbanisation, education, occupational mobility), how does the chapter explain the transformation of the caste system?",Reformers alone changed the caste system without any socio-economic change,"Socio-economic change alone caused the transformation, with no role for reformers",Caste has not changed at all in modern India,"Both the efforts of social reformers and broader socio-economic changes together contributed to changes in the caste system, even though caste-based inequalities have not disappeared",D,5
7591,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,"According to the chapter, what do political parties keep in mind when choosing candidates for elections?","The caste composition of the electorate, to muster necessary support",Only the candidate's personal wealth,Only the candidate's religion,Only the candidate's gender,A,1
7592,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,What does the chapter mean when it says a caste is a 'vote bank' of a party?,That every single voter of that caste always votes for that party,That a large proportion of voters from that caste vote for that party,That the caste has no political preference at all,That the party reserves seats exclusively for that caste,B,2
7593,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,A political party wins an election despite not securing votes from a majority caste in the constituency because no single caste forms a majority there. This illustrates the chapter's point that:,Caste is the only factor that decides election outcomes,Elections are decided solely by religion,"Since no parliamentary constituency has a clear majority of one caste, every party needs support from more than one caste and community to win",Only upper castes are allowed to contest elections,C,3
7594,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,"Comparing the chapter's evidence that 'the ruling party and sitting MP or MLA frequently lose elections' with the idea of caste as a fixed 'vote bank,' what does this comparison suggest?",It confirms that caste identity completely determines voting behaviour,It shows castes are legally barred from voting,"It proves that only religion, not caste, affects elections","It shows that voters are not permanently frozen in their caste-based political preferences, since factors like party attachment, government performance and leadership also influence votes",D,4
7595,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,Analyse: why does the chapter say that focusing only on caste can give a misleading impression that 'elections are all about caste and nothing else'?,"Because factors such as multiple candidates from the same caste, differing economic interests within a caste, and voters' attachment to parties all show that caste is only one of several factors shaping electoral outcomes",Because caste has no impact at all on Indian elections,Because only economic factors determine election outcomes,Because the Constitution bans any mention of caste in elections,A,4
7596,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,Which of the following best compares 'caste in politics' with 'politics in caste' as discussed in the chapter?,They mean exactly the same thing with no distinction,"'Caste in politics' refers to how caste influences political behaviour, like candidate selection or vote appeals, while 'politics in caste' refers to how political processes reshape caste identities themselves, such as castes forming coalitions or new categories like 'backward' and 'forward' castes emerging",'Politics in caste' means caste has disappeared from politics entirely,'Caste in politics' refers only to reservation policies,B,4
7597,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,Evaluate the chapter's claim that caste politics has both 'positive and negative aspects.' Which best represents this balanced evaluation?,"Caste politics is entirely negative, with no benefits to any group","Caste politics is entirely positive, with no drawbacks at all","Caste-based political mobilisation has helped previously disadvantaged groups like Dalits and OBCs gain better access to decision-making and dignity, but exclusive focus on caste can divert attention from issues like poverty and development, and sometimes leads to tension or conflict","Caste politics only matters in local body elections, not in state or national politics",C,5
7598,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,"Synthesise: how does the chapter's discussion of 'politics in caste' (castes incorporating sub-castes, forming coalitions, and giving rise to categories like 'forward' and 'backward' castes) support the broader chapter theme that social divisions and politics shape each other?",It shows politics has no effect on social identities like caste,It shows caste identities are entirely fixed by religion and unaffected by politics,It proves caste is irrelevant to Indian democracy,"It shows that just as caste can influence political mobilisation, political processes can in turn reshape and even create new caste-based groupings and alliances, illustrating a two-way relationship",D,5
7599,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,"Considering the discussion of universal adult franchise compelling leaders to mobilise support and the resulting political consciousness among previously 'low' castes, evaluate what this suggests about democracy's effect on caste inequality.",Democracy has no effect on caste inequality at all,Universal adult franchise strengthened old caste hierarchies without any change,"The need to win votes under universal adult franchise pushed political leaders to mobilise all social groups, which brought new political consciousness and some access to power for previously disadvantaged castes, showing democratic competition can work against rigid social hierarchy",Universal adult franchise applies only to upper castes in India,C,5
7600,10,Social,3,"Gender, Religion and Caste (Political Science)",0,Caste in Politics and Politics in Caste,"Drawing together the chapter's treatment of gender, religion and caste, which conclusion best reflects its overall argument about social divisions and politics in a democracy?",Social divisions should be completely hidden from political discussion to preserve democracy,"Any political expression of gender, religious or caste identity automatically threatens democracy",Only caste-based divisions can healthily enter politics; gender and religious divisions cannot,"Social divisions do not automatically or straightforwardly become political; depending on how they are expressed, they can help disadvantaged groups gain rights and voice, as with gender and caste mobilisation, or turn harmful when one group's exclusive dominance is sought over others, as with communalism",D,5
7601,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"According to the chapter, what is a political party?",A group of people who come together to contest elections and hold power in the government,A group of citizens who volunteer for social service only,An organisation formed only to conduct elections for the Election Commission,A group of government officers who implement welfare schemes,A,1
7602,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,The chapter states that a political party has three components. Which of the following is NOT one of them?,The leaders,The judiciary,The active members,The followers,B,1
7603,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"As defined in the chapter, a 'partisan' is a person who",Remains completely neutral on all political issues,Works only for the Election Commission,"Is strongly committed to a party, group or faction and tends to take a side",Contests elections as an independent candidate,C,1
7604,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"According to the chapter's definition, a 'ruling party' is",A party that wins the most votes but does not form the government,Any party registered with the Election Commission,A party that has no members in the legislature,The political party that runs the government,D,1
7605,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"In most democracies, as explained in the chapter, elections are mainly fought among",Candidates put up by political parties,Individual voters directly,Officers appointed by the government,Judges nominated by the Supreme Court,A,1
7606,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"The chapter explains that in the USA, candidates for a party are usually chosen by",The top leaders of the party alone,Members and supporters of the party,The Election Commission,The outgoing government,B,2
7607,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"According to the chapter, in a country like India, candidates for elections are usually chosen by",Members and supporters of the party through voting,A committee appointed by the Election Commission,Top party leaders,Ordinary citizens through a public lottery,C,2
7608,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,Which of the following best describes the function of political parties described as 'parties shape public opinion'?,They appoint judges to the courts,They fix the salaries of government officers,They conduct the counting of votes,They raise and highlight issues and mobilise opinion through their members and activists,D,2
7609,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,The chapter says a party 'reduces a vast multitude of opinions into a few basic positions' mainly through which function?,Putting forward policies and programmes for voters to choose from,Contesting elections,Providing access to government welfare schemes,Acting as opposition in the legislature,A,2
7610,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,Which statement correctly reflects the chapter's explanation of why an ordinary citizen approaches a party rather than a government officer?,Because government officers are not allowed to meet citizens,Because parties provide easier access to government machinery and welfare schemes,Because parties have the legal power to issue government orders,Because only party workers can vote in elections,B,2
7611,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"In Parliament, most Members of Parliament vote according to the direction of their party leadership rather than their personal opinion while passing laws. This illustrates which function of political parties?",Parties provide access to welfare schemes,Parties shape public opinion through movements,Parties play a role in making laws for the country,Parties act as opposition to the ruling party,C,3
7612,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,A party that loses an election criticises the government's policies in the legislature and mobilises public opposition to it. Which function is this?,Forming and running the government,Contesting elections,Filling political offices,Playing the role of opposition,D,3
7613,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"A party recruits promising young leaders, trains them, and later appoints them as ministers when it wins power. This illustrates which function?",Parties form and run governments,Parties provide access to welfare schemes,Parties act as pressure groups,Parties reduce the multitude of opinions,A,3
7614,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,Members and activists of a party organise a rally to highlight the problem of price rise and mobilise public opinion on the issue. This is an example of which function?,Parties contest elections,Parties shape public opinion,Parties form the government,Parties play the role of opposition,B,3
7615,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,Which of the following correctly distinguishes the function 'parties contest elections' from the function 'parties form and run governments'?,Both functions mean exactly the same thing according to the chapter,Contesting elections is done only by the ruling party while forming government is done only by the opposition,Contesting elections is about winning power; forming and running governments is about how the party in power actually operates once elected,Forming and running government happens before elections are contested,C,4
7616,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"The chapter asks readers to imagine a democracy with no political parties, where every candidate contests as an independent. Based on this reasoning, which outcome does the chapter suggest would follow?",Governments would be more efficient because there would be no partisanship at all,Elections would become entirely unnecessary,Only the judiciary would be able to make laws,"No candidate could promise any major policy change, and no one would be responsible for how the country is run",D,4
7617,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"The chapter describes non-party based panchayat elections in some states, where the village still splits into factions that put up a 'panel' of candidates. What does the chapter conclude from this example?","This shows that grouping of people into factions, similar to what parties do, tends to happen even without formal parties",Panchayat elections prove that parties are never needed in India,It shows panchayats always perform better without any grouping of candidates,It proves that only the Election Commission can organise fair elections,A,4
7618,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,Which of these best captures the relationship between the 'policy function' and the 'opposition function' of political parties as explained in the chapter?,Only the opposition parties are allowed to have policies and programmes,"The party in power bases its policies on its own programme, while parties that lose act as opposition by voicing different views and criticising those policies",The ruling party has no policies; only the opposition does,Opposition parties are legally barred from criticising government policies,B,4
7619,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"The chapter argues that political parties are needed because representative governments require an agency to gather diverse views, present them to government, and support or restrain it. Which of the following would be the weakest counter-argument to this claim, staying within the chapter's own logic?",Someone must be held responsible for how the country is run once elections are over,Large and complex societies need a mechanism to combine diverse opinions into workable positions,Independent candidates without any grouping could equally provide a stable direction for government policy at the national level,A government formed of unconnected individuals has uncertain utility because no shared policy binds it,C,5
7620,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"Considering the chapter's description of a party's three components (leaders, active members, followers) together with its list of functions, which statement best explains why all three components are needed for a party to function effectively?",Followers alone can perform every function of a party without leaders or active members,Active members are unnecessary once a party has leaders,The three components perform entirely unrelated tasks with no connection to the party's functions,"Leaders decide direction and policy, active members carry out the party's work and mobilisation, and followers provide the popular support that legitimises the party's contest for power",D,5
7621,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,The chapter states that a government formed by independent candidates would have 'uncertain utility' even if it were formed. Which of the following best explains this claim using the chapter's reasoning?,"Because without a shared party programme, there is no agreed basis on which the government would frame policies, even though individual representatives might be accountable to their own constituency",Because independent candidates cannot legally take an oath of office,Because independent candidates always lose elections,Because the Election Commission does not recognise independent candidates,A,5
7622,10,Social,4,Political Parties (Political Science),0,Meaning and Functions of Political Parties,"Synthesising the chapter's explanation of why democracies need parties to 'handle a large variety of views', which of the following best states the core reasoning?","Governments prefer chaos, so parties are designed to create as many separate opinions as possible","No government can act on every individual opinion separately, so parties group similar opinions into a few basic positions that can guide policy-making",Only the judiciary is capable of grouping public opinions into policies,Views do not need to be grouped because every citizen already agrees with every other citizen,B,5
7623,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","In a one-party system, as described in the chapter,",Two parties compete for power on equal terms,More than two parties have a reasonable chance of forming the government,Only one party is allowed to control and run the government,No party is allowed to contest elections,C,1
7624,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","The chapter gives which country as an example of a one-party system, where only the Communist Party is allowed to rule?",The United States of America,The United Kingdom,India,China,D,1
7625,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party",The chapter names the USA and the UK as examples of which type of party system?,Two-party system,One-party system,Multiparty system,No-party system,A,1
7626,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","In a two-party system, as explained in the chapter, which of the following is true?",Only two parties are legally allowed to exist in the country,"Power usually changes between two main parties, even though other smaller parties may exist and win a few seats",All parties have an equal chance of forming the government,The system does not allow any elections,B,2
7627,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","According to the chapter, why can a one-party system not be considered a good option for a democracy?",Because one-party systems always lead to the fastest economic growth,Because one party can never win an election,"Because it does not allow free competition for power among parties, making it undemocratic",Because the Election Commission bans one-party systems in every country,C,2
7628,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party",The chapter states that India has which type of party system?,One-party system,Two-party system,No political party system at all,Multiparty system,D,2
7629,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","If several parties in a country each have a reasonable chance of forming the government, either on their own or in alliance with others, this is best classified as a",Multiparty system,Two-party system,One-party system,Coalition court system,A,3
7630,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","When several parties in a multiparty system join hands to contest elections and win power together, the chapter refers to this grouping as a",Front bench,Alliance or a front,Ruling committee,Recognised party,B,3
7631,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","The chapter mentions three major alliances in India's 2004 parliamentary elections. Which of the following was one of them, as named in the chapter?",Grand National Front,Peoples' Democratic Coalition,National Democratic Alliance,Federal Unity Alliance,C,3
7632,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","A country where only the Communist Party can form the government, with no other party legally permitted to compete for power, should be classified under the chapter's scheme as a",Two-party system,Multiparty system with alliances,State party system,One-party system,D,3
7633,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","Which of the following correctly compares a two-party system with a multiparty system, as explained in the chapter?","In a two-party system, only two main parties have a serious chance of forming the government even though other parties may contest and win a few seats, whereas in a multiparty system more than two parties have a reasonable chance of coming to power, often through alliances",A two-party system always has more parties competing than a multiparty system,A multiparty system never allows coalition governments,A two-party system and a multiparty system are exactly the same in the chapter's description,A,4
7634,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","The chapter explains that a country's party system 'evolves over a long time' rather than being chosen. Based on this, why does India have a multiparty system according to the chapter?",Because the Election Commission mandates exactly three parties,Because India's social and geographical diversity is too large to be easily absorbed by two or three parties,Because Indian voters are legally barred from voting for more than one party,Because India copied the party system of the United Kingdom,B,4
7635,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","Which of these statements combines two features of the multiparty system correctly, as described in the chapter?","It is always stable and never messy, but it excludes smaller interests from representation",It guarantees that only one party will ever win a majority,"It often appears messy and can lead to political instability, but it allows a variety of interests and opinions to gain political representation",It eliminates the need for any alliances between parties,C,4
7636,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","The chapter states that 'no system is ideal for all countries and all situations' when comparing one-party, two-party, and multiparty systems. Based on the chapter's own reasoning about how party systems evolve, which conclusion is most consistent with this view?",Every democracy should be forced to adopt a two-party system because it is the most efficient,One-party systems should be adopted everywhere because they avoid the messiness of multiparty systems,The number of parties in a country has no relation to its social or regional diversity,"Since a party system depends on a country's social divisions, history and electoral system, the same type of system cannot simply be transplanted from one country to another",D,5
7637,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","A student argues: 'Since a one-party system avoids the messiness described for multiparty systems, it should be treated as an equally valid democratic option.' Using the chapter's reasoning, what is the strongest objection to this argument?","A one-party system does not allow free competition for power among parties and hence is not a democratic option at all, regardless of whether multiparty systems are messy","The chapter never mentions any drawback of multiparty systems, so the comparison is invalid",One-party systems are messier than multiparty systems according to the chapter,The chapter states that one-party systems are the most common in the world today,A,5
7638,10,Social,4,Political Parties (Political Science),0,"Party Systems: One-Party, Two-Party and Multi-Party","The chapter suggests studying party systems at the State level within India, identifying States with two-party systems, multiparty systems with two alliances, and multiparty systems. Based on the chapter's logic about why party systems differ, what would most plausibly explain why different Indian States show different party system types?","All Indian States are identical in their social and political history, so this exercise is meaningless","State-level party systems, like national ones, are shaped by each State's own social divisions, regional history and political circumstances, so they can differ from one another and from the national pattern",The Election Commission assigns a fixed party system type to each State by law,Party systems at the State level are decided directly by the national ruling party,B,5
7639,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,"According to the survey evidence cited in the chapter, what proportion of people express trust in political parties compared to those with little or no trust?",Almost everyone reports 'great' trust in political parties,Trust levels are not measured in the surveys mentioned,More people report having 'not much' or 'not at all' trust than those with 'some' or 'great' trust,All citizens surveyed reported equal trust in every institution,C,1
7640,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,The chapter's discussion of 'popular participation in political parties' is based on evidence from,A single newspaper opinion poll conducted in one year,Data collected only from political party offices,Statements made by party leaders in Parliament,"Large sample surveys conducted over several decades, as reported in the State of Democracy in South Asia study",D,1
7641,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,"According to the chapter, how does the level of trust in political parties compare with the level of participation in party activities in India?","Trust is low, but participation in party activities has remained fairly high",Both trust and participation are extremely low,Both trust and participation are extremely high,"Trust is high, but participation is very low",A,2
7642,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,The chapter states that the proportion of people who report being members of a political party in India is,"Lower than in Canada, Japan, Spain and South Korea","Higher than in Canada, Japan, Spain and South Korea",Exactly equal to that in the United Kingdom,Impossible to measure through surveys,B,2
7643,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,"A survey finds that most respondents describe their trust in political parties as 'not much' or 'not at all', yet a rising share say they are party members and feel 'close to a party'. Which conclusion from the chapter does this best support?",Trust and participation always move in exactly the same direction,Indian citizens have completely stopped engaging with political parties,The idea that political parties are unpopular and citizens are indifferent to them is only partly true for India,The Election Commission suppresses all survey data on this topic,C,3
7644,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,"If a similar large-sample survey found that trust in political parties was low across most democracies, not just in South Asia, this would support which point made in the chapter?",That only Indian political parties suffer from low trust,That two-party systems always enjoy higher trust than multiparty systems,That trust in parties is unrelated to trust in any other institution,That political parties are one of the least trusted institutions all over the world,D,3
7645,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,"Based on the chapter's evidence, which of the following combinations correctly describes trends in India over the last three decades regarding political parties?",Trust in parties has fallen steadily while party membership and the sense of feeling 'close to a party' have both risen,Both trust and membership have fallen steadily,Trust has risen sharply while membership has fallen,Neither trust nor membership has changed at all,A,4
7646,10,Social,4,Political Parties (Political Science),0,Popular Participation in Political Parties,"A commentator claims: 'Since surveys show low trust in political parties, parties must be losing all relevance to citizens' political lives.' Using the chapter's own evidence, what is the best synthesis-level response to this claim?",The claim is fully correct because low trust always means low relevance,"The claim overlooks the chapter's evidence that despite low trust, participation in party activities and the sense of closeness to parties have been rising in India, showing parties remain significant in people's political lives",The claim is irrelevant because the chapter provides no data on trust or participation,"The claim is correct only for two-party systems, not multiparty systems like India's",B,5
7647,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"As per the criteria mentioned in the chapter, a party is recognised as a 'State party' if it secures at least what percentage of total votes in a State Assembly election, along with winning at least two seats?",2 per cent,10 per cent,6 per cent,15 per cent,C,1
7648,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"According to the chapter, a party is recognised as a 'national party' if it secures at least six per cent of total votes in Lok Sabha or Assembly elections in four States and wins at least how many seats in the Lok Sabha?",One seat,Two seats,Ten seats,Four seats,D,1
7649,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,The chapter states that recognised political parties are given a unique symbol by the Election Commission. What is the main purpose of this symbol?,To allow only the official candidates of that party to use that election symbol,To indicate the party's number of registered voters,To decide the party's budget for elections,To rank the party in the Lok Sabha,A,1
7650,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"Who founded the Bahujan Samaj Party (BSP), as stated in the chapter?",Jawaharlal Nehru,Kanshi Ram,Syama Prasad Mukherjee,P.A. Sangma,B,1
7651,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"According to the chapter, the Bharatiya Janata Party (BJP) was founded in 1980 by reviving an earlier party formed in 1951 by",Kanshi Ram,Mahatma Phule,Syama Prasad Mukherjee,P.A. Sangma,C,1
7652,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,The chapter states that the Indian National Congress (INC) was founded in which year?,1947,1951,1980,1885,D,1
7653,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,The chapter explains that democracies with a federal system tend to have two kinds of parties. What are they?,Parties present in only one federal unit and parties present in several or all units (national parties),Ruling parties and opposition parties,Coalition parties and independent parties,Registered parties and unregistered parties,A,2
7654,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"According to the chapter, every party in the country has to register with which body?",The Supreme Court,The Election Commission,The Parliament,The Reserve Bank of India,B,2
7655,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,The chapter describes the Bahujan Samaj Party as seeking to represent and secure power mainly for which groups?,Only industrialists and traders,Only farmers in Punjab,"The bahujan samaj, including dalits, adivasis, OBCs and religious minorities",Only government employees,C,2
7656,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"As per the chapter, which idea is described as an important element in the BJP's conception of Indian nationhood and politics?",Marxism-Leninism,Bahujan samaj ideology,Integral socialism,"Cultural nationalism, or 'Hindutva'",D,2
7657,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"According to the chapter, the Communist Party of India (Marxist) draws on which political philosophy?",Marxism-Leninism,Integral humanism,Antyodaya,Bahujan samaj,A,2
7658,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"The chapter states that the Indian National Congress, under the leadership of Jawaharlal Nehru, sought to build India as a",One-party state,Modern secular democratic republic,Monarchy,Federation ruled by the Communist Party,B,2
7659,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"A party described in the chapter was formed in 1984 under a leader who drew inspiration from Sahu Maharaj, Mahatma Phule, Periyar Ramaswami Naicker and Babasaheb Ambedkar. Which party is this?",Bharatiya Janata Party,Communist Party of India (Marxist),Bahujan Samaj Party,Aam Aadmi Party,C,3
7660,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"A party mentioned in the chapter is described as having emerged from the 2011 anti-corruption movement and was founded on the idea of accountability, clean administration, transparency and good governance. Which party is this?",National People's Party,Indian National Congress,Bahujan Samaj Party,Aam Aadmi Party,D,3
7661,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"A party in the chapter is described as the first political party from North East India to attain the status of a national party, founded in July 2013. Which party is this?",National People's Party,Biju Janata Dal,Mizo National Front,Sikkim Democratic Front,A,3
7662,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"A party in the chapter is described as enjoying strong support in West Bengal, Kerala and Tripura, especially among the poor, factory workers, farmers and agricultural labourers, and as having been critical of new economic policies allowing free flow of foreign capital. Which party is this?",Indian National Congress,Communist Party of India (Marxist),Bharatiya Janata Party,Bahujan Samaj Party,B,3
7663,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"The chapter mentions parties such as Biju Janata Dal, Sikkim Democratic Front, Mizo National Front and Telangana Rashtra Samithi as parties that are",Recognised national parties as per the 2023 notification,Banned by the Election Commission,"Conscious about their State identity, and hence classified as State parties",Formed only after 2019,C,3
7664,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"Which of the following correctly compares the recognition criteria for a State party and a national party, as given in the chapter?",Both State and national parties require exactly the same percentage of votes and the same number of seats,"A State party requires seats in four States, while a national party requires seats in only one State",Neither State nor national party recognition depends on the percentage of votes secured,"A State party needs 6% of votes in a State Assembly election plus 2 seats, while a national party needs 6% of votes in Lok Sabha/Assembly elections across four States plus 4 Lok Sabha seats",D,4
7665,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"The chapter notes that some parties, like the Samajwadi Party and Rashtriya Janata Dal, have a national-level political organisation with units in several states, while parties like the Biju Janata Dal are conscious of their State identity. Based on the chapter, what do both types of parties have in common?",Both types are officially classified as State parties despite having somewhat different characters,Both types are automatically classified as national parties regardless of their vote share,Both types are banned from contesting Lok Sabha elections,Both types must merge with a national party before contesting elections,A,4
7666,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"According to the chapter, since 1996 nearly every State party has had an opportunity to join a national-level coalition government. What consequence does the chapter draw from this trend?",It has made national parties completely irrelevant,It has contributed to the strengthening of federalism and democracy in the country,It has led to the abolition of the recognition criteria for national parties,It has caused the Election Commission to stop recognising State parties,B,4
7667,10,Social,4,Political Parties (Political Science),0,National and State Parties in India,"Comparing the Indian National Congress and the Bharatiya Janata Party as described in the chapter, which statement is accurate?",Both parties are described in the chapter as following exactly the same ideology,The BJP is described as focused solely on dalit welfare in the chapter,"The INC is described as a centrist party focusing on secularism and welfare of weaker sections, while the BJP emphasises cultural nationalism and integral humanism",The INC was founded after the BJP according to the chapter,C,4
